name,name_full
MMM,3M Company (MMM)
MHK,"Mohawk Industries, Inc. (MHK)"
PRL.TO,Propel Holdings Inc. (PRL.TO)
NFLX,"Netflix, Inc. (NFLX)"
JMIA,Jumia Technologies AG (JMIA)
IGT,International Game Technology PLC (IGT)
MSTR,MicroStrategy Incorporated (MSTR)
BAH,Booz Allen Hamilton Holding Corporation (BAH)
CVS,CVS Health Corporation (CVS)
SQ,"Block, Inc. (SQ)"
GEV,GE Vernova Inc. (GEV)
BIIB,Biogen Inc. (BIIB)
SAVA,"Cassava Sciences, Inc. (SAVA)"
CVNA,Carvana Co. (CVNA)
SERV,Serve Robotics Inc. (SERV)
BROS,Dutch Bros Inc. (BROS)
SAIA,"Saia, Inc. (SAIA)"
CHTR,"Charter Communications, Inc. (CHTR)"
COUR,"Coursera, Inc. (COUR)"
ACHR,Archer Aviation Inc. (ACHR)
BFI,"BurgerFi International, Inc. (BFI)"
PFE,Pfizer Inc. (PFE)
WINT,"Windtree Therapeutics, Inc. (WINT)"
^DJI,Dow Jones Industrial Average (^DJI)
NWL,Newell Brands Inc. (NWL)
BMY,Bristol-Myers Squibb Company (BMY)
DXCM,"DexCom, Inc. (DXCM)"
